id,title,description,price,url,image,categoryId
p61,Стенд Common Rail CR1020 — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки форсунок Common Rail CR1020. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1020,https://sto.cross-export.ru/cr1020,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p62,Стенд HEUI305 — ООО «КРОСС ЭКСПОРТ»,"Стенд для диагностики форсунок HEUI305 (Caterpillar C7, C9, 3126B). В наличии и под заказ, доставка по России, гарантия и техподдержка.",305,https://sto.cross-export.ru/heui305,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p63,"Стенд для проверки форсунок Common Rail CR1020. В наличии и под заказ, доставка по России, гарантия и техподдержка.","Стенд для проверки форсунок Common Rail TL200. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1020,https://sto.cross-export.ru/tl200,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p64,Стенд ТНВД 12PSDW — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД 12PSDW. В наличии и под заказ, доставка по России, гарантия и техподдержка.",12,https://sto.cross-export.ru/12psdw,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p65,Стенд Common Rail CR-819 — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки форсунок Common Rail CR-819. В наличии и под заказ, доставка по России, гарантия и техподдержка.",819,https://sto.cross-export.ru/cr-819,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p66,Стенд ТНВД 12PSDW-A-150 — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД 12PSDW-A-150. В наличии и под заказ, доставка по России, гарантия и техподдержка.",12,https://sto.cross-export.ru/12psdw-a-150,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p67,Стенд ТНВД NT3000 — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД NT3000. В наличии и под заказ, доставка по России, гарантия и техподдержка.",3000,https://sto.cross-export.ru/nt3000,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p68,Стенд ТНВД 12PSB — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД 12PSB. В наличии и под заказ, доставка по России, гарантия и техподдержка.",12,https://sto.cross-export.ru/12psb,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p69,"Стенд для проверки ТНВД 12PSB. В наличии и под заказ, доставка по России, гарантия и техподдержка.","Стенд для проверки ТНВД 12PSB-mini. В наличии и под заказ, доставка по России, гарантия и техподдержка.",12,https://sto.cross-export.ru/12psb-mini,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p70,Стенд Common Rail CR3000A-708 — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки форсунок Common Rail CR3000A-708. В наличии и под заказ, доставка по России, гарантия и техподдержка.",3000,https://sto.cross-export.ru/cr3000a-708,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p71,Стенд Common Rail CR-966 — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки форсунок Common Rail CR-966. В наличии и под заказ, доставка по России, гарантия и техподдержка.",966,https://sto.cross-export.ru/cr-966,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p72,Стенд ТНВД NTS-815A — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД NTS-815A. В наличии и под заказ, доставка по России, гарантия и техподдержка.",815,https://sto.cross-export.ru/nts-815a,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p73,Стенд ТНВД NTS-815A PRO — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД NTS-815A PRO. В наличии и под заказ, доставка по России, гарантия и техподдержка.",815,https://sto.cross-export.ru/nts-815apro,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p74,Стенд ТНВД NTi-1010 — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД NTi-1010. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1010,https://sto.cross-export.ru/nti-1010,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p75,Стенд ТНВД NTi-318 PRO — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД NTi-318 PRO. В наличии и под заказ, доставка по России, гарантия и техподдержка.",318,https://sto.cross-export.ru/nts-300,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p76,Стенд ТНВД NTS-300 — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД NTS-300. В наличии и под заказ, доставка по России, гарантия и техподдержка.",300,https://sto.cross-export.ru/nti-318pro,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p77,Стенд Common Rail EPS-208 PRO — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки ТНВД EPS-208 PRO. В наличии и под заказ, доставка по России, гарантия и техподдержка.",208,https://sto.cross-export.ru/eps-208pro,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
